Age,Gender,Occupation,Country,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours,Social_Media_Usage,Diet_Quality,Smoking_Habit,Alcohol_Consumption,split
48,Male,Engineering,UK,Medium,5.5,61,8,4.8,Healthy,Heavy Smoker,Non-Drinker,train
43,Prefer not to say,Sales,India,Low,7.0,37,1,1.7,Healthy,Non-Smoker,Non-Drinker,train
65,Male,Healthcare,India,High,6.4,47,0,4.6,Average,Heavy Smoker,Regular Drinker,train
30,Male,Engineering,Germany,Low,9.5,36,8,4.9,Healthy,Non-Smoker,Regular Drinker,train
23,Prefer not to say,IT,India,Medium,9.6,46,3,5.4,Healthy,Occasional Smoker,Regular Drinker,train
35,Non-binary,Finance,Germany,Low,8.9,57,8,1.6,Healthy,Non-Smoker,Heavy Drinker,train
20,Male,Finance,USA,High,4.8,68,3,3.4,Average,Heavy Smoker,Social Drinker,train
36,Female,Engineering,Other,High,6.5,45,3,2.4,Unhealthy,Occasional Smoker,Heavy Drinker,train
48,Female,Healthcare,UK,Low,9.1,38,2,2.2,Healthy,Occasional Smoker,Regular Drinker,train
43,Male,IT,UK,Medium,7.9,64,4,2.1,Healthy,Heavy Smoker,Social Drinker,train
60,Prefer not to say,Healthcare,Germany,Low,9.9,30,4,1.6,Healthy,Heavy Smoker,Social Drinker,train
18,Male,Healthcare,UK,High,5.4,70,6,3.3,Unhealthy,Non-Smoker,Social Drinker,train
32,Female,Sales,UK,Medium,4.0,65,4,0.6,Healthy,Non-Smoker,Heavy Drinker,train
64,Non-binary,Sales,Germany,Medium,8.1,51,9,2.7,Unhealthy,Occasional Smoker,Heavy Drinker,train
63,Female,Other,UK,High,4.7,69,4,5.1,Unhealthy,Regular Smoker,Regular Drinker,train
48,Female,Finance,Canada,High,8.1,74,2,0.9,Unhealthy,Heavy Smoker,Regular Drinker,train
29,Male,Finance,Other,Low,5.1,57,7,3.4,Healthy,Occasional Smoker,Non-Drinker,train
31,Non-binary,Other,UK,High,4.7,34,4,5.4,Unhealthy,Regular Smoker,Social Drinker,train
36,Female,Sales,India,Low,7.0,39,7,2.4,Average,Non-Smoker,Heavy Drinker,train
18,Male,Sales,Germany,Low,8.5,43,9,1.2,Average,Non-Smoker,Social Drinker,train
42,Male,Healthcare,USA,Low,6.0,54,9,3.9,Average,Non-Smoker,Non-Drinker,train
60,Female,Engineering,Canada,Medium,6.3,49,6,3.4,Healthy,Regular Smoker,Social Drinker,train
45,Female,Engineering,India,Medium,6.5,58,0,0.6,Unhealthy,Occasional Smoker,Non-Drinker,train
40,Prefer not to say,Education,Canada,High,7.5,48,2,4.2,Average,Occasional Smoker,Social Drinker,train
41,Female,Other,Australia,Medium,10.0,65,1,5.6,Healthy,Occasional Smoker,Non-Drinker,train
39,Prefer not to say,IT,UK,Low,6.8,35,4,2.1,Healthy,Regular Smoker,Non-Drinker,train
57,Male,Other,Germany,High,5.1,61,5,4.5,Average,Occasional Smoker,Regular Drinker,train
21,Prefer not to say,Sales,USA,High,5.5,79,9,5.2,Unhealthy,Regular Smoker,Heavy Drinker,train
44,Female,Education,Canada,Medium,4.5,31,7,2.8,Healthy,Regular Smoker,Regular Drinker,train
55,Male,IT,UK,High,4.4,64,2,5.2,Healthy,Non-Smoker,Social Drinker,train
32,Female,Other,Other,High,7.2,61,4,5.9,Average,Heavy Smoker,Regular Drinker,train
46,Female,Finance,Germany,Medium,8.4,79,5,2.8,Average,Heavy Smoker,Non-Drinker,train
26,Male,Engineering,USA,High,8.4,55,6,4.6,Average,Regular Smoker,Regular Drinker,train
27,Male,IT,Germany,High,9.1,58,0,5.7,Average,Heavy Smoker,Social Drinker,train
20,Non-binary,Finance,Australia,High,4.1,56,8,5.9,Unhealthy,Heavy Smoker,Non-Drinker,train
52,Prefer not to say,Healthcare,India,Medium,9.0,47,3,2.9,Average,Regular Smoker,Non-Drinker,train
28,Non-binary,Healthcare,Other,High,8.8,68,6,3.1,Unhealthy,Heavy Smoker,Heavy Drinker,train
24,Female,Healthcare,UK,Low,9.9,42,4,4.0,Healthy,Regular Smoker,Social Drinker,train
41,Non-binary,Education,India,High,4.1,79,7,4.8,Unhealthy,Non-Smoker,Heavy Drinker,train
54,Male,Engineering,Other,Medium,4.0,78,6,3.6,Healthy,Non-Smoker,Social Drinker,train
47,Male,Engineering,UK,High,4.4,62,0,4.7,Unhealthy,Occasional Smoker,Regular Drinker,train
34,Female,Finance,Canada,High,7.2,56,4,5.8,Average,Occasional Smoker,Heavy Drinker,train
26,Non-binary,Healthcare,USA,High,8.1,54,6,4.9,Unhealthy,Regular Smoker,Social Drinker,train
54,Male,Education,UK,Low,9.7,40,8,3.8,Healthy,Regular Smoker,Social Drinker,train
22,Female,Healthcare,Germany,Medium,9.6,60,10,0.7,Unhealthy,Heavy Smoker,Heavy Drinker,train
58,Female,Education,India,Low,4.7,34,7,0.5,Average,Heavy Smoker,Non-Drinker,train
47,Female,Other,Other,High,4.2,50,1,3.4,Average,Occasional Smoker,Social Drinker,train
35,Non-binary,Sales,Australia,Low,7.7,44,8,3.1,Unhealthy,Occasional Smoker,Non-Drinker,train
64,Female,Engineering,India,Low,7.5,38,10,3.4,Average,Occasional Smoker,Social Drinker,train
35,Prefer not to say,IT,USA,Low,9.6,45,7,5.3,Average,Occasional Smoker,Social Drinker,train
42,Prefer not to say,Engineering,Canada,High,4.1,59,0,1.5,Average,Heavy Smoker,Regular Drinker,train
58,Prefer not to say,Healthcare,India,Low,8.9,39,2,1.1,Healthy,Regular Smoker,Social Drinker,train
56,Non-binary,Sales,Canada,Low,8.9,52,8,0.7,Healthy,Heavy Smoker,Heavy Drinker,train
30,Female,Healthcare,Other,Low,8.0,52,6,3.2,Healthy,Occasional Smoker,Social Drinker,train
48,Non-binary,Other,Other,Medium,4.9,52,10,4.8,Healthy,Regular Smoker,Non-Drinker,train
33,Female,Engineering,India,Medium,9.4,78,10,3.7,Average,Heavy Smoker,Social Drinker,train
43,Non-binary,Healthcare,Canada,Medium,9.1,45,8,2.5,Unhealthy,Regular Smoker,Regular Drinker,train
59,Male,Other,Australia,Low,6.2,32,10,1.0,Healthy,Non-Smoker,Social Drinker,train
34,Male,Sales,UK,High,6.9,41,3,3.4,Unhealthy,Occasional Smoker,Regular Drinker,train
62,Non-binary,Education,Other,Medium,5.9,79,3,1.3,Average,Non-Smoker,Non-Drinker,train
47,Male,Other,UK,Low,9.5,34,3,4.6,Healthy,Occasional Smoker,Non-Drinker,train
41,Prefer not to say,Healthcare,USA,Low,6.9,61,7,0.9,Average,Non-Smoker,Heavy Drinker,train
61,Male,Healthcare,Other,Medium,7.0,68,10,2.8,Healthy,Occasional Smoker,Heavy Drinker,train
30,Non-binary,IT,UK,Low,9.4,35,6,3.5,Healthy,Non-Smoker,Regular Drinker,train
38,Female,Other,Australia,Low,5.9,39,7,3.8,Healthy,Occasional Smoker,Non-Drinker,train
49,Prefer not to say,IT,Germany,Low,8.8,51,0,2.5,Healthy,Non-Smoker,Non-Drinker,train
18,Prefer not to say,Healthcare,India,High,6.2,60,3,5.5,Average,Heavy Smoker,Social Drinker,train
58,Male,Engineering,Germany,Low,6.2,40,5,3.9,Healthy,Non-Smoker,Heavy Drinker,train
18,Non-binary,Education,India,High,4.5,66,0,3.1,Average,Non-Smoker,Social Drinker,train
59,Female,IT,UK,High,7.7,50,0,3.6,Average,Regular Smoker,Social Drinker,train
42,Prefer not to say,Finance,USA,Medium,4.7,41,10,2.6,Average,Regular Smoker,Social Drinker,train
65,Prefer not to say,Education,Canada,High,7.7,40,3,3.3,Average,Heavy Smoker,Heavy Drinker,train
25,Male,Finance,Australia,Medium,8.5,68,9,2.2,Unhealthy,Occasional Smoker,Regular Drinker,train
35,Prefer not to say,Finance,UK,Medium,7.0,39,10,4.2,Healthy,Heavy Smoker,Regular Drinker,train
42,Prefer not to say,Engineering,India,Low,7.0,60,7,0.9,Healthy,Occasional Smoker,Social Drinker,train
60,Male,IT,India,High,5.7,79,10,4.0,Unhealthy,Occasional Smoker,Social Drinker,train
60,Male,Engineering,Canada,High,7.3,70,1,5.1,Average,Non-Smoker,Social Drinker,train
23,Non-binary,Education,Other,High,5.9,62,4,2.8,Unhealthy,Occasional Smoker,Social Drinker,train
64,Male,Engineering,UK,High,6.0,60,5,5.8,Unhealthy,Non-Smoker,Heavy Drinker,train
64,Female,Education,USA,Medium,7.7,59,4,0.8,Unhealthy,Occasional Smoker,Social Drinker,train
36,Male,Education,Australia,High,4.4,31,5,2.4,Average,Regular Smoker,Regular Drinker,train
26,Male,Healthcare,Canada,High,5.3,79,10,5.3,Average,Occasional Smoker,Social Drinker,train
32,Non-binary,IT,Australia,High,5.3,74,7,4.6,Unhealthy,Heavy Smoker,Heavy Drinker,train
49,Prefer not to say,Education,USA,High,4.6,71,6,2.9,Unhealthy,Heavy Smoker,Heavy Drinker,train
47,Prefer not to say,Healthcare,USA,High,4.5,34,10,5.8,Unhealthy,Heavy Smoker,Social Drinker,train
51,Male,Finance,Other,High,5.6,60,1,4.2,Healthy,Non-Smoker,Regular Drinker,train
20,Male,Engineering,Other,High,5.6,80,8,3.6,Unhealthy,Regular Smoker,Social Drinker,train
31,Non-binary,Education,India,High,6.5,53,1,0.9,Average,Heavy Smoker,Regular Drinker,train
54,Male,Finance,India,Medium,6.1,39,9,3.0,Average,Regular Smoker,Regular Drinker,train
25,Male,Education,Australia,High,5.6,51,2,3.7,Average,Regular Smoker,Non-Drinker,train
23,Female,Other,Germany,High,4.3,72,5,2.8,Healthy,Regular Smoker,Social Drinker,train
18,Male,IT,Germany,Medium,8.9,45,3,5.3,Healthy,Occasional Smoker,Regular Drinker,train
40,Non-binary,Other,USA,Medium,9.2,76,3,4.0,Healthy,Occasional Smoker,Social Drinker,train
35,Male,Engineering,India,Medium,6.6,48,8,5.7,Healthy,Occasional Smoker,Regular Drinker,train
39,Prefer not to say,IT,India,High,4.7,80,1,5.3,Healthy,Occasional Smoker,Non-Drinker,train
31,Female,Engineering,Germany,Low,9.8,52,10,4.9,Average,Occasional Smoker,Non-Drinker,train
56,Male,Education,Canada,Low,6.3,37,0,1.2,Average,Non-Smoker,Non-Drinker,train
31,Male,Healthcare,UK,High,4.6,42,4,5.1,Healthy,Heavy Smoker,Regular Drinker,train
19,Female,Education,USA,High,4.8,61,3,1.7,Unhealthy,Occasional Smoker,Social Drinker,train
27,Male,Finance,India,High,5.3,45,2,4.5,Healthy,Occasional Smoker,Heavy Drinker,train
51,Non-binary,Sales,Germany,Medium,6.0,37,3,3.3,Average,Non-Smoker,Heavy Drinker,train
40,Male,IT,India,Low,9.1,45,7,3.8,Average,Occasional Smoker,Heavy Drinker,train
18,Prefer not to say,Healthcare,Other,High,5.9,47,4,5.7,Unhealthy,Occasional Smoker,Non-Drinker,train
42,Male,IT,Germany,High,7.4,58,2,4.2,Average,Heavy Smoker,Regular Drinker,train
60,Male,IT,USA,Low,6.4,37,5,3.1,Healthy,Non-Smoker,Non-Drinker,train
53,Prefer not to say,Education,India,High,5.5,62,2,5.2,Unhealthy,Occasional Smoker,Regular Drinker,train
60,Female,Healthcare,India,High,4.4,73,1,5.9,Unhealthy,Occasional Smoker,Non-Drinker,train
30,Prefer not to say,Other,Canada,Low,5.7,57,7,3.6,Healthy,Occasional Smoker,Non-Drinker,train
20,Non-binary,Finance,Australia,Low,9.1,41,4,2.8,Healthy,Occasional Smoker,Regular Drinker,train
36,Prefer not to say,Education,Canada,Medium,7.7,54,6,5.0,Healthy,Regular Smoker,Non-Drinker,train
19,Prefer not to say,Sales,UK,High,8.4,64,0,5.1,Average,Regular Smoker,Regular Drinker,train
25,Female,Sales,Australia,Medium,9.3,72,4,3.7,Healthy,Heavy Smoker,Social Drinker,train
30,Prefer not to say,Engineering,Canada,Low,8.1,72,1,1.4,Healthy,Non-Smoker,Social Drinker,train
56,Female,IT,India,High,4.2,50,5,3.4,Unhealthy,Heavy Smoker,Regular Drinker,train
54,Prefer not to say,Sales,Germany,High,6.3,74,6,5.8,Unhealthy,Regular Smoker,Social Drinker,train
56,Prefer not to say,IT,India,Low,7.2,76,10,1.4,Average,Occasional Smoker,Non-Drinker,train
50,Male,Education,Other,Low,9.4,39,5,5.2,Average,Non-Smoker,Social Drinker,train
41,Female,Finance,USA,High,5.9,72,4,5.2,Average,Occasional Smoker,Non-Drinker,train
54,Male,IT,USA,High,6.4,66,1,4.9,Average,Occasional Smoker,Heavy Drinker,train
24,Male,Education,Australia,Medium,6.0,32,1,1.8,Unhealthy,Occasional Smoker,Social Drinker,train
29,Prefer not to say,Sales,India,Medium,8.9,47,7,4.2,Healthy,Heavy Smoker,Heavy Drinker,train
56,Female,Other,Canada,Low,8.3,40,6,0.8,Unhealthy,Non-Smoker,Heavy Drinker,train
36,Non-binary,IT,Other,High,6.4,49,3,1.1,Unhealthy,Regular Smoker,Heavy Drinker,train
65,Male,IT,Germany,High,5.6,63,10,2.4,Unhealthy,Non-Smoker,Regular Drinker,train
31,Prefer not to say,Education,USA,High,7.6,57,2,5.2,Healthy,Occasional Smoker,Regular Drinker,train
57,Male,Engineering,India,Low,8.6,43,8,2.2,Healthy,Occasional Smoker,Social Drinker,train
51,Female,Engineering,Other,Low,9.9,54,8,2.1,Healthy,Occasional Smoker,Regular Drinker,train
30,Non-binary,Other,India,Low,8.4,74,8,2.6,Unhealthy,Non-Smoker,Non-Drinker,train
33,Female,Other,India,Medium,8.9,30,3,4.7,Average,Heavy Smoker,Non-Drinker,train
20,Prefer not to say,Finance,Germany,Low,7.9,60,10,0.6,Healthy,Non-Smoker,Regular Drinker,train
49,Male,Engineering,Australia,High,5.0,37,0,5.2,Unhealthy,Regular Smoker,Social Drinker,train
57,Female,Engineering,UK,High,4.3,64,4,1.5,Unhealthy,Occasional Smoker,Heavy Drinker,train
21,Prefer not to say,Engineering,UK,High,4.9,48,2,4.8,Unhealthy,Non-Smoker,Heavy Drinker,train
62,Male,Finance,Other,Low,9.0,56,10,4.2,Healthy,Non-Smoker,Heavy Drinker,train
19,Male,IT,USA,High,9.2,58,10,4.7,Unhealthy,Heavy Smoker,Regular Drinker,train
21,Female,Education,Australia,Medium,7.9,79,8,3.9,Healthy,Occasional Smoker,Heavy Drinker,train
46,Female,IT,Other,Medium,7.5,68,7,0.7,Unhealthy,Non-Smoker,Heavy Drinker,train
40,Female,Finance,UK,Medium,7.1,59,6,1.8,Unhealthy,Occasional Smoker,Social Drinker,train
47,Prefer not to say,Engineering,Other,Low,9.7,36,8,3.2,Healthy,Heavy Smoker,Non-Drinker,train
52,Prefer not to say,Healthcare,UK,Low,6.7,31,1,1.1,Average,Occasional Smoker,Non-Drinker,train
21,Prefer not to say,Other,Other,High,6.0,78,4,2.2,Average,Regular Smoker,Regular Drinker,train
46,Female,Sales,Canada,Low,7.7,57,10,1.8,Average,Non-Smoker,Heavy Drinker,train
31,Non-binary,Other,Germany,High,7.2,80,2,4.7,Healthy,Regular Smoker,Regular Drinker,train
44,Non-binary,Education,UK,Medium,5.4,38,3,5.0,Healthy,Non-Smoker,Social Drinker,train
27,Non-binary,Education,India,High,4.2,47,1,4.3,Healthy,Occasional Smoker,Social Drinker,train
33,Male,Finance,USA,Low,6.7,59,5,3.2,Average,Non-Smoker,Non-Drinker,train
21,Female,Sales,Germany,Medium,9.1,51,6,4.2,Healthy,Regular Smoker,Social Drinker,train
54,Non-binary,IT,Canada,High,7.9,68,2,0.8,Unhealthy,Non-Smoker,Regular Drinker,train
59,Female,Finance,Canada,Low,5.9,47,9,3.1,Healthy,Occasional Smoker,Non-Drinker,train
35,Non-binary,IT,India,High,5.5,77,1,2.7,Unhealthy,Regular Smoker,Social Drinker,train
30,Prefer not to say,Finance,India,Low,8.7,57,7,3.5,Unhealthy,Non-Smoker,Social Drinker,train
39,Prefer not to say,IT,USA,Medium,5.1,30,4,0.8,Healthy,Heavy Smoker,Regular Drinker,train
55,Prefer not to say,Education,Germany,Medium,9.9,53,10,5.1,Unhealthy,Occasional Smoker,Social Drinker,train
35,Male,Other,Canada,High,6.2,63,6,3.6,Unhealthy,Non-Smoker,Regular Drinker,train
60,Female,Engineering,Canada,Low,5.2,44,7,4.4,Average,Non-Smoker,Non-Drinker,train
30,Male,Engineering,Canada,Low,8.5,32,5,3.4,Healthy,Occasional Smoker,Regular Drinker,train
32,Prefer not to say,Other,India,Medium,5.0,33,2,0.8,Unhealthy,Non-Smoker,Social Drinker,train
48,Male,Other,Canada,Medium,6.7,48,8,1.0,Unhealthy,Heavy Smoker,Social Drinker,train
61,Female,Other,India,High,4.1,79,3,3.9,Unhealthy,Occasional Smoker,Heavy Drinker,train
59,Non-binary,Other,Other,Medium,9.4,52,3,2.3,Healthy,Heavy Smoker,Regular Drinker,train
24,Non-binary,Engineering,India,High,9.5,77,1,5.2,Average,Regular Smoker,Heavy Drinker,train
51,Male,Engineering,UK,Medium,5.7,32,2,1.9,Healthy,Heavy Smoker,Social Drinker,train
57,Prefer not to say,IT,UK,High,9.0,77,2,2.4,Unhealthy,Non-Smoker,Heavy Drinker,train
65,Male,Sales,Germany,High,4.1,76,7,1.4,Unhealthy,Regular Smoker,Heavy Drinker,train
18,Female,Healthcare,Germany,High,4.5,37,2,5.8,Average,Heavy Smoker,Heavy Drinker,train
30,Male,Engineering,Australia,High,6.4,78,2,4.2,Healthy,Non-Smoker,Heavy Drinker,train
58,Non-binary,Engineering,USA,Low,8.3,58,7,0.9,Healthy,Non-Smoker,Non-Drinker,train
55,Female,Healthcare,Australia,Medium,4.8,52,4,2.8,Healthy,Occasional Smoker,Social Drinker,train
36,Prefer not to say,IT,Canada,High,5.8,52,0,2.1,Unhealthy,Regular Smoker,Non-Drinker,train
38,Prefer not to say,Education,USA,Medium,8.6,52,7,4.1,Average,Heavy Smoker,Regular Drinker,train
18,Male,Education,Germany,Medium,7.7,54,4,5.1,Healthy,Regular Smoker,Non-Drinker,train
56,Male,Finance,Other,High,7.3,65,9,6.0,Average,Occasional Smoker,Heavy Drinker,train
38,Male,Education,India,High,7.5,63,4,4.3,Healthy,Regular Smoker,Heavy Drinker,train
40,Non-binary,IT,USA,High,8.7,66,2,5.6,Unhealthy,Regular Smoker,Regular Drinker,train
28,Prefer not to say,Engineering,Germany,High,5.0,58,3,3.8,Unhealthy,Occasional Smoker,Non-Drinker,train
29,Prefer not to say,Finance,Australia,High,9.3,72,1,3.5,Healthy,Regular Smoker,Regular Drinker,train
30,Prefer not to say,Engineering,India,Medium,5.7,45,7,0.7,Average,Heavy Smoker,Regular Drinker,train
19,Non-binary,IT,UK,Medium,8.4,62,2,1.1,Unhealthy,Heavy Smoker,Non-Drinker,train
35,Non-binary,Education,USA,High,7.0,80,7,5.3,Average,Regular Smoker,Social Drinker,train
50,Female,Finance,UK,Low,4.8,37,9,3.4,Average,Non-Smoker,Social Drinker,train
20,Male,Sales,Other,Medium,4.6,38,4,1.7,Average,Heavy Smoker,Social Drinker,train
49,Female,Sales,USA,High,7.1,66,4,3.0,Unhealthy,Heavy Smoker,Heavy Drinker,train
24,Non-binary,Healthcare,India,High,4.5,51,4,3.4,Unhealthy,Regular Smoker,Heavy Drinker,train
23,Prefer not to say,Education,India,Medium,6.0,47,10,0.6,Unhealthy,Heavy Smoker,Social Drinker,train
20,Female,IT,Canada,High,7.2,45,4,4.8,Average,Regular Smoker,Regular Drinker,train
53,Non-binary,Other,Other,High,4.8,74,3,4.2,Healthy,Regular Smoker,Regular Drinker,train
26,Female,Education,Other,High,7.1,66,9,4.2,Unhealthy,Occasional Smoker,Social Drinker,train
51,Male,Healthcare,Other,High,8.5,69,9,4.4,Unhealthy,Heavy Smoker,Heavy Drinker,train
60,Male,Finance,Other,Medium,8.8,65,10,2.3,Unhealthy,Regular Smoker,Social Drinker,train
39,Prefer not to say,Sales,Canada,Low,8.0,32,3,0.7,Healthy,Heavy Smoker,Non-Drinker,train
31,Prefer not to say,Sales,Germany,Low,4.0,33,10,0.7,Average,Regular Smoker,Non-Drinker,train
65,Female,IT,Other,Medium,5.3,78,7,0.8,Unhealthy,Occasional Smoker,Non-Drinker,train
18,Female,Other,Germany,High,7.5,75,6,3.2,Unhealthy,Occasional Smoker,Heavy Drinker,train
45,Female,IT,UK,High,4.4,72,7,5.4,Average,Heavy Smoker,Social Drinker,train
53,Female,Other,Germany,Low,9.7,47,1,1.4,Average,Occasional Smoker,Non-Drinker,train
33,Non-binary,Engineering,USA,Medium,5.5,35,3,2.9,Average,Non-Smoker,Social Drinker,train
35,Male,IT,Australia,High,5.5,43,4,1.3,Unhealthy,Regular Smoker,Regular Drinker,train
20,Prefer not to say,Sales,Australia,High,8.4,68,3,3.1,Average,Regular Smoker,Heavy Drinker,train
36,Male,IT,Germany,Low,4.5,50,7,1.6,Average,Occasional Smoker,Non-Drinker,train
48,Non-binary,Education,Canada,High,5.1,78,2,2.4,Unhealthy,Non-Smoker,Non-Drinker,train
21,Female,Sales,India,High,6.5,68,10,4.7,Average,Regular Smoker,Social Drinker,train
33,Female,Sales,Germany,Medium,4.2,55,6,5.7,Healthy,Occasional Smoker,Non-Drinker,train
28,Male,Engineering,Canada,Medium,7.7,51,3,2.3,Healthy,Heavy Smoker,Social Drinker,train
24,Male,Other,UK,High,6.6,71,3,4.8,Unhealthy,Heavy Smoker,Non-Drinker,train
47,Female,IT,USA,Low,8.0,58,5,5.9,Healthy,Non-Smoker,Social Drinker,train
42,Male,Engineering,USA,Low,8.9,35,7,5.3,Healthy,Heavy Smoker,Non-Drinker,train
31,Prefer not to say,Other,Germany,Medium,5.2,54,6,0.8,Average,Non-Smoker,Heavy Drinker,train
52,Non-binary,Engineering,UK,Low,7.6,61,10,0.6,Unhealthy,Non-Smoker,Non-Drinker,train
29,Female,Healthcare,Germany,High,4.9,69,6,4.7,Average,Regular Smoker,Non-Drinker,train
62,Non-binary,Sales,Canada,Medium,4.7,39,6,3.4,Average,Regular Smoker,Non-Drinker,train
34,Female,Other,Canada,Low,9.1,37,8,1.0,Unhealthy,Non-Smoker,Social Drinker,train
21,Prefer not to say,Other,Other,Low,8.3,33,8,1.9,Average,Non-Smoker,Non-Drinker,train
33,Prefer not to say,IT,USA,High,4.1,52,6,2.4,Healthy,Regular Smoker,Regular Drinker,train
35,Male,Engineering,USA,Low,4.7,36,6,2.1,Healthy,Heavy Smoker,Non-Drinker,train
31,Female,Sales,USA,High,8.6,71,4,4.3,Healthy,Heavy Smoker,Heavy Drinker,train
58,Male,Finance,Australia,High,10.0,49,2,5.0,Average,Heavy Smoker,Heavy Drinker,train
57,Non-binary,Finance,UK,Medium,6.3,74,9,2.3,Average,Heavy Smoker,Social Drinker,train
42,Non-binary,IT,India,Medium,7.0,39,4,4.6,Healthy,Occasional Smoker,Regular Drinker,train
48,Non-binary,Sales,Australia,High,6.8,62,0,4.4,Average,Occasional Smoker,Regular Drinker,train
57,Female,Finance,Germany,Low,6.0,50,9,0.7,Healthy,Heavy Smoker,Social Drinker,train
19,Non-binary,Other,Other,High,7.3,71,9,2.6,Average,Heavy Smoker,Regular Drinker,train
58,Prefer not to say,Engineering,Canada,High,4.7,79,0,0.8,Unhealthy,Non-Smoker,Regular Drinker,train
24,Female,Education,Other,Medium,4.6,58,8,1.8,Average,Heavy Smoker,Social Drinker,train
33,Male,Healthcare,Canada,High,4.7,59,3,3.2,Unhealthy,Non-Smoker,Heavy Drinker,train
40,Prefer not to say,Finance,Canada,High,6.5,63,1,3.2,Average,Heavy Smoker,Regular Drinker,train
62,Male,Education,India,High,7.9,35,1,3.6,Unhealthy,Heavy Smoker,Regular Drinker,train
60,Male,IT,UK,High,9.2,49,5,5.9,Unhealthy,Regular Smoker,Social Drinker,train
50,Female,Other,Other,Medium,9.7,67,7,4.3,Healthy,Occasional Smoker,Regular Drinker,train
21,Female,Other,UK,Medium,8.4,30,6,4.2,Unhealthy,Heavy Smoker,Non-Drinker,train
48,Male,Finance,Germany,Low,7.7,48,10,1.5,Healthy,Non-Smoker,Regular Drinker,train
53,Male,Education,USA,High,8.3,67,1,6.0,Unhealthy,Non-Smoker,Regular Drinker,train
21,Prefer not to say,Education,Australia,Low,6.8,37,6,1.1,Average,Non-Smoker,Heavy Drinker,train
64,Prefer not to say,IT,Other,Low,9.8,54,4,0.6,Average,Non-Smoker,Regular Drinker,train
49,Female,Healthcare,USA,Medium,5.8,39,9,5.3,Average,Non-Smoker,Regular Drinker,train
42,Non-binary,IT,India,Medium,7.7,58,4,3.0,Unhealthy,Non-Smoker,Social Drinker,train
35,Prefer not to say,Healthcare,USA,Low,7.3,30,8,1.9,Healthy,Heavy Smoker,Regular Drinker,train
60,Prefer not to say,Engineering,UK,High,9.0,80,0,5.0,Healthy,Heavy Smoker,Regular Drinker,train
32,Prefer not to say,Education,Australia,Medium,9.3,48,0,5.2,Average,Occasional Smoker,Non-Drinker,train
29,Non-binary,Engineering,India,Medium,6.4,50,4,5.6,Healthy,Non-Smoker,Regular Drinker,train
54,Female,Finance,Germany,Medium,4.6,73,1,1.1,Healthy,Non-Smoker,Social Drinker,train
56,Female,Other,Germany,Medium,4.4,39,2,0.9,Healthy,Regular Smoker,Social Drinker,train
33,Prefer not to say,Finance,UK,High,7.7,56,3,4.7,Healthy,Regular Smoker,Heavy Drinker,train
45,Non-binary,Education,India,Medium,4.7,60,8,4.1,Unhealthy,Non-Smoker,Social Drinker,train
36,Male,Finance,UK,High,8.5,41,0,5.5,Average,Heavy Smoker,Regular Drinker,train
47,Non-binary,Finance,UK,Medium,6.4,77,8,1.2,Healthy,Regular Smoker,Regular Drinker,train
59,Prefer not to say,IT,Australia,Medium,4.7,46,4,2.7,Healthy,Regular Smoker,Social Drinker,train
