Age,Gender,Occupation,Country,Sleep_Hours_Scaled,Sleep_Hours_Scaled,Sleep_Hours_Scaled,Work_Hours_Scaled,Work_Hours_Scaled,Work_Hours_Scaled,Physical_Activity_Hours_Scaled,Physical_Activity_Hours_Scaled,Physical_Activity_Hours_Scaled,Social_Media_Usage_Scaled,Social_Media_Usage_Scaled,Social_Media_Usage_Scaled,Diet_Quality_Encoded_Scaled,Diet_Quality_Encoded_Scaled,Diet_Quality_Encoded_Scaled,Smoking_Habit_Encoded_Scaled,Smoking_Habit_Encoded_Scaled,Smoking_Habit_Encoded_Scaled,Alcohol_Consumption_Encoded_Scaled,Alcohol_Consumption_Encoded_Scaled,Alcohol_Consumption_Encoded_Scaled,Stress_Level
62,Non-binary,Healthcare,USA,0.04999999999999993,0.04999999999999993,0.04999999999999993,0.3400000000000001,0.3400000000000001,0.3400000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.38181818181818183,0.38181818181818183,0.38181818181818183,0.5,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
61,Male,Other,Other,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.8,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,High
37,Male,IT,India,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.0,0.0,0.0,0.7454545454545454,0.7454545454545454,0.7454545454545454,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,High
54,Male,IT,UK,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.5000000000000001,0.5000000000000001,0.5000000000000001,1.0,1.0,1.0,0.509090909090909,0.509090909090909,0.509090909090909,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Medium
56,Prefer not to say,Education,Germany,0.7833333333333331,0.7833333333333331,0.7833333333333331,0.22000000000000008,0.22000000000000008,0.22000000000000008,0.0,0.0,0.0,0.7818181818181817,0.7818181818181817,0.7818181818181817,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Medium
52,Female,Other,India,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.0,0.0,0.0,1.0,1.0,1.0,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
52,Male,Sales,Australia,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.12,0.12,0.12,0.1,0.1,0.1,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,High
20,Non-binary,Finance,Other,0.25,0.25,0.25,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.14545454545454548,0.14545454545454548,0.14545454545454548,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
48,Male,Engineering,UK,0.25,0.25,0.25,0.62,0.62,0.62,0.8,0.8,0.8,0.7818181818181817,0.7818181818181817,0.7818181818181817,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,Medium
43,Prefer not to say,Sales,India,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.14,0.14,0.14,0.1,0.1,0.1,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
65,Male,Healthcare,India,0.4,0.4,0.4,0.3400000000000001,0.3400000000000001,0.3400000000000001,0.0,0.0,0.0,0.7454545454545454,0.7454545454545454,0.7454545454545454,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
30,Male,Engineering,Germany,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.12,0.12,0.12,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,Low
23,Prefer not to say,IT,India,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.32000000000000006,0.32000000000000006,0.32000000000000006,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.890909090909091,0.890909090909091,0.890909090909091,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,Medium
35,Non-binary,Finance,Germany,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.8,0.8,0.8,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Low
20,Male,Finance,USA,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.7600000000000001,0.7600000000000001,0.7600000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.5272727272727272,0.5272727272727272,0.5272727272727272,0.5,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
36,Female,Engineering,Other,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.34545454545454546,0.34545454545454546,0.34545454545454546,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,High
48,Female,Healthcare,UK,0.85,0.85,0.85,0.16000000000000003,0.16000000000000003,0.16000000000000003,0.2,0.2,0.2,0.3090909090909091,0.3090909090909091,0.3090909090909091,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,Low
43,Male,IT,UK,0.65,0.65,0.65,0.68,0.68,0.68,0.4,0.4,0.4,0.2909090909090909,0.2909090909090909,0.2909090909090909,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Medium
60,Prefer not to say,Healthcare,Germany,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,0.4,0.4,0.4,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
18,Male,Healthcare,UK,0.2333333333333334,0.2333333333333334,0.2333333333333334,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.509090909090909,0.509090909090909,0.509090909090909,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
32,Female,Sales,UK,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.4,0.4,0.4,0.018181818181818174,0.018181818181818174,0.018181818181818174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Medium
64,Non-binary,Sales,Germany,0.6833333333333332,0.6833333333333332,0.6833333333333332,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.9,0.9,0.9,0.4,0.4,0.4,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,Medium
63,Female,Other,UK,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.7800000000000001,0.7800000000000001,0.7800000000000001,0.4,0.4,0.4,0.8363636363636363,0.8363636363636363,0.8363636363636363,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
48,Female,Finance,Canada,0.6833333333333332,0.6833333333333332,0.6833333333333332,0.88,0.88,0.88,0.2,0.2,0.2,0.07272727272727272,0.07272727272727272,0.07272727272727272,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
29,Male,Finance,Other,0.18333333333333324,0.18333333333333324,0.18333333333333324,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.5272727272727272,0.5272727272727272,0.5272727272727272,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,Low
31,Non-binary,Other,UK,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.4,0.4,0.4,0.890909090909091,0.890909090909091,0.890909090909091,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
36,Female,Sales,India,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,Low
18,Male,Sales,Germany,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.26,0.26,0.26,0.9,0.9,0.9,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.5,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
42,Male,Healthcare,USA,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.9,0.9,0.9,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Low
60,Female,Engineering,Canada,0.3833333333333332,0.3833333333333332,0.3833333333333332,0.38,0.38,0.38,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5272727272727272,0.5272727272727272,0.5272727272727272,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,Medium
45,Female,Engineering,India,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.0,0.0,0.0,0.018181818181818174,0.018181818181818174,0.018181818181818174,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,Medium
40,Prefer not to say,Education,Canada,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.36,0.36,0.36,0.2,0.2,0.2,0.6727272727272727,0.6727272727272727,0.6727272727272727,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
41,Female,Other,Australia,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.1,0.1,0.1,0.9272727272727271,0.9272727272727271,0.9272727272727271,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,Medium
39,Prefer not to say,IT,UK,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.4,0.4,0.4,0.2909090909090909,0.2909090909090909,0.2909090909090909,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,Low
57,Male,Other,Germany,0.18333333333333324,0.18333333333333324,0.18333333333333324,0.62,0.62,0.62,0.5,0.5,0.5,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
21,Prefer not to say,Sales,USA,0.25,0.25,0.25,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9,0.9,0.9,0.8545454545454546,0.8545454545454546,0.8545454545454546,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,High
44,Female,Education,Canada,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.4181818181818181,0.4181818181818181,0.4181818181818181,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,Medium
55,Male,IT,UK,0.06666666666666676,0.06666666666666676,0.06666666666666676,0.68,0.68,0.68,0.2,0.2,0.2,0.8545454545454546,0.8545454545454546,0.8545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
32,Female,Other,Other,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.62,0.62,0.62,0.4,0.4,0.4,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
46,Female,Finance,Germany,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.5,0.5,0.5,0.4181818181818181,0.4181818181818181,0.4181818181818181,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,Medium
26,Male,Engineering,USA,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.7454545454545454,0.7454545454545454,0.7454545454545454,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
27,Male,IT,Germany,0.85,0.85,0.85,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.0,0.0,0.0,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.5,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
20,Non-binary,Finance,Australia,0.016666666666666607,0.016666666666666607,0.016666666666666607,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.8,0.8,0.8,0.9818181818181818,0.9818181818181818,0.9818181818181818,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,High
52,Prefer not to say,Healthcare,India,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3400000000000001,0.3400000000000001,0.3400000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.4363636363636363,0.4363636363636363,0.4363636363636363,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,Medium
28,Non-binary,Healthcare,Other,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.7600000000000001,0.7600000000000001,0.7600000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4727272727272728,0.4727272727272728,0.4727272727272728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High
24,Female,Healthcare,UK,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.24,0.24,0.24,0.4,0.4,0.4,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
41,Non-binary,Education,India,0.016666666666666607,0.016666666666666607,0.016666666666666607,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7818181818181817,0.7818181818181817,0.7818181818181817,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,High
54,Male,Engineering,Other,0.0,0.0,0.0,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5636363636363636,0.5636363636363636,0.5636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Medium
47,Male,Engineering,UK,0.06666666666666676,0.06666666666666676,0.06666666666666676,0.64,0.64,0.64,0.0,0.0,0.0,0.7636363636363637,0.7636363636363637,0.7636363636363637,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
34,Female,Finance,Canada,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.4,0.4,0.4,0.9636363636363635,0.9636363636363635,0.9636363636363635,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,High
26,Non-binary,Healthcare,USA,0.6833333333333332,0.6833333333333332,0.6833333333333332,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8,0.8,0.8,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
54,Male,Education,UK,0.9499999999999998,0.9499999999999998,0.9499999999999998,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.8,0.8,0.8,0.6,0.6,0.6,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
22,Female,Healthcare,Germany,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.6,0.6,0.6,1.0,1.0,1.0,0.03636363636363635,0.03636363636363635,0.03636363636363635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Medium
58,Female,Education,India,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,Low
47,Female,Other,Other,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.4,0.4,0.4,0.1,0.1,0.1,0.5272727272727272,0.5272727272727272,0.5272727272727272,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
35,Non-binary,Sales,Australia,0.6166666666666666,0.6166666666666666,0.6166666666666666,0.28,0.28,0.28,0.8,0.8,0.8,0.4727272727272728,0.4727272727272728,0.4727272727272728,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,Low
64,Female,Engineering,India,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.16000000000000003,0.16000000000000003,0.16000000000000003,1.0,1.0,1.0,0.5272727272727272,0.5272727272727272,0.5272727272727272,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
35,Prefer not to say,IT,USA,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.8727272727272727,0.8727272727272727,0.8727272727272727,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
42,Prefer not to say,Engineering,Canada,0.016666666666666607,0.016666666666666607,0.016666666666666607,0.58,0.58,0.58,0.0,0.0,0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
58,Prefer not to say,Healthcare,India,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.2,0.2,0.2,0.1090909090909091,0.1090909090909091,0.1090909090909091,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
56,Non-binary,Sales,Canada,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.8,0.8,0.8,0.03636363636363635,0.03636363636363635,0.03636363636363635,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Low
30,Female,Healthcare,Other,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.49090909090909096,0.49090909090909096,0.49090909090909096,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
48,Non-binary,Other,Other,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.44000000000000006,0.44000000000000006,0.44000000000000006,1.0,1.0,1.0,0.7818181818181817,0.7818181818181817,0.7818181818181817,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,Medium
33,Female,Engineering,India,0.9,0.9,0.9,0.9600000000000001,0.9600000000000001,0.9600000000000001,1.0,1.0,1.0,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.5,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Medium
43,Non-binary,Healthcare,Canada,0.85,0.85,0.85,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.8,0.8,0.8,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,Medium
59,Male,Other,Australia,0.3666666666666666,0.3666666666666666,0.3666666666666666,0.040000000000000036,0.040000000000000036,0.040000000000000036,1.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Low
34,Male,Sales,UK,0.4833333333333333,0.4833333333333333,0.4833333333333333,0.22000000000000008,0.22000000000000008,0.22000000000000008,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.5272727272727272,0.5272727272727272,0.5272727272727272,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
62,Non-binary,Education,Other,0.31666666666666676,0.31666666666666676,0.31666666666666676,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.14545454545454548,0.14545454545454548,0.14545454545454548,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Medium
47,Male,Other,UK,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.7454545454545454,0.7454545454545454,0.7454545454545454,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,Low
41,Prefer not to say,Healthcare,USA,0.4833333333333333,0.4833333333333333,0.4833333333333333,0.62,0.62,0.62,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,Low
61,Male,Healthcare,Other,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.7600000000000001,0.7600000000000001,0.7600000000000001,1.0,1.0,1.0,0.4181818181818181,0.4181818181818181,0.4181818181818181,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,Medium
30,Non-binary,IT,UK,0.9,0.9,0.9,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,Low
38,Female,Other,Australia,0.31666666666666676,0.31666666666666676,0.31666666666666676,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.6,0.6,0.6,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,Low
