Age,Gender,Occupation,Country,Sleep_Hours_Scaled,Work_Hours_Scaled,Physical_Activity_Hours_Scaled,Social_Media_Usage_Scaled,Diet_Quality_Encoded_Scaled,Smoking_Habit_Encoded_Scaled,Alcohol_Consumption_Encoded_Scaled,Stress_Level,Cluster
61,Male,Healthcare,India,0.1333333333333333,0.42,1.0,0.9636363636363636,1.0,1.0,0.3333333333333333,High,2
32,Female,Healthcare,Australia,0.1666666666666666,0.4,0.6000000000000001,0.6363636363636364,1.0,1.0,0.3333333333333333,High,2
37,Female,Other,India,0.2999999999999999,0.7800000000000001,0.3,0.4181818181818181,0.0,0.3333333333333333,0.3333333333333333,High,0
21,Male,Healthcare,Canada,0.7499999999999999,0.92,0.1,0.0727272727272727,0.5,0.3333333333333333,0.3333333333333333,Medium,0
57,Male,Engineering,Germany,0.9166666666666666,0.98,0.6000000000000001,0.0181818181818181,1.0,1.0,0.0,Medium,2
28,Male,Sales,Other,0.6833333333333332,0.28,0.0,0.3454545454545454,0.0,0.0,0.0,Low,0
38,Prefer not to say,Finance,Other,0.1833333333333332,0.82,0.2,0.3272727272727272,0.5,0.0,0.0,Medium,0
20,Prefer not to say,Other,Other,0.9666666666666668,0.3,1.0,0.1454545454545454,0.5,0.0,0.3333333333333333,Low,0
23,Non-binary,IT,Germany,0.4833333333333333,0.24,0.2,0.3090909090909091,1.0,1.0,0.6666666666666666,High,2
55,Male,IT,Germany,0.8333333333333334,0.66,1.0,0.0909090909090909,0.0,0.3333333333333333,0.0,Low,0
47,Non-binary,Finance,Canada,0.2833333333333333,0.16,0.6000000000000001,0.6727272727272727,0.5,0.6666666666666666,0.3333333333333333,High,0
58,Non-binary,Education,India,0.5833333333333334,0.04,0.2,0.1272727272727272,0.5,0.6666666666666666,0.3333333333333333,Medium,0
65,Male,Engineering,USA,0.45,0.88,0.3,0.5272727272727272,1.0,0.6666666666666666,0.6666666666666666,High,2
27,Male,Engineering,USA,0.0499999999999999,0.7800000000000001,0.9,0.4,0.5,0.3333333333333333,0.6666666666666666,High,1
22,Female,Healthcare,Australia,0.5666666666666668,0.7200000000000001,0.0,0.9454545454545454,0.0,0.0,1.0,High,1
51,Female,Finance,Canada,0.9833333333333332,0.84,1.0,0.7090909090909091,1.0,0.3333333333333333,1.0,High,2
61,Female,IT,India,0.5666666666666668,0.06,0.5,0.0,0.5,0.3333333333333333,0.0,Low,0
19,Prefer not to say,Education,Germany,0.15,0.02,0.5,0.3818181818181818,1.0,0.6666666666666666,1.0,High,2
57,Male,Other,Australia,0.9499999999999998,0.18,0.6000000000000001,0.0363636363636363,0.5,0.6666666666666666,0.3333333333333333,Low,0
65,Non-binary,Healthcare,India,0.1666666666666666,0.58,0.0,0.3818181818181818,0.0,0.3333333333333333,0.6666666666666666,High,1
22,Non-binary,Education,Germany,0.5333333333333333,0.6,0.3,0.5636363636363636,0.5,1.0,0.3333333333333333,High,0
50,Female,IT,UK,0.2333333333333334,0.5599999999999999,0.5,0.5454545454545454,0.5,0.6666666666666666,1.0,High,1
46,Female,Education,Australia,0.0333333333333333,0.44,0.6000000000000001,0.7636363636363637,0.0,1.0,0.3333333333333333,High,0
48,Non-binary,Healthcare,USA,0.15,0.36,0.1,0.9636363636363636,1.0,0.6666666666666666,0.0,High,2
48,Female,Other,India,0.2999999999999999,0.4,0.8,0.9818181818181818,1.0,0.0,1.0,High,2
51,Prefer not to say,IT,India,0.9833333333333332,0.86,1.0,0.3272727272727272,0.5,1.0,0.6666666666666666,Medium,1
22,Female,Education,UK,0.3666666666666666,0.22,0.7000000000000001,0.8,1.0,1.0,0.6666666666666666,High,2
55,Non-binary,Other,USA,0.9833333333333332,0.3,0.9,0.7454545454545454,1.0,0.0,0.0,Low,2
28,Female,Education,Canada,0.3166666666666667,0.6,0.9,0.8181818181818182,0.5,0.3333333333333333,0.0,Medium,0
44,Prefer not to say,Finance,Germany,0.9,0.18,0.0,0.3818181818181818,0.5,0.3333333333333333,0.6666666666666666,Medium,1
39,Male,Other,Germany,0.35,0.4800000000000001,0.8,0.1272727272727272,1.0,0.3333333333333333,0.6666666666666666,Medium,2
32,Male,Finance,Canada,0.4999999999999999,0.9,0.3,0.4727272727272728,1.0,0.6666666666666666,1.0,High,2
57,Non-binary,Education,Germany,0.0166666666666666,0.3,0.1,0.4363636363636363,1.0,0.6666666666666666,1.0,High,2
24,Non-binary,IT,USA,0.4333333333333332,0.8000000000000002,1.0,0.7090909090909091,1.0,1.0,0.3333333333333333,High,2
31,Non-binary,Education,UK,0.25,0.3400000000000001,0.3,0.4545454545454545,1.0,0.3333333333333333,0.0,High,2
24,Male,IT,India,0.2999999999999999,0.16,0.6000000000000001,0.2,1.0,0.3333333333333333,0.3333333333333333,Medium,2
52,Non-binary,Healthcare,USA,0.4666666666666667,0.62,0.5,0.9090909090909092,1.0,0.3333333333333333,0.6666666666666666,High,2
47,Non-binary,IT,Australia,0.1833333333333332,0.14,0.9,0.2,0.0,0.3333333333333333,0.0,Low,0
34,Prefer not to say,Healthcare,Canada,0.35,0.44,0.0,0.2181818181818181,0.0,0.6666666666666666,0.3333333333333333,Medium,0
18,Non-binary,Sales,Canada,0.1333333333333333,0.64,0.2,0.6727272727272727,0.5,0.6666666666666666,1.0,High,1
39,Non-binary,Engineering,Germany,0.2166666666666666,0.5200000000000001,0.6000000000000001,0.6545454545454544,1.0,0.3333333333333333,1.0,High,2
30,Prefer not to say,Engineering,Canada,0.6833333333333332,0.84,0.1,0.1636363636363636,0.0,0.0,0.3333333333333333,Low,0
60,Female,Sales,India,0.0166666666666666,0.7800000000000001,0.5,0.0727272727272727,0.0,0.6666666666666666,0.0,Medium,0
41,Male,Healthcare,India,0.0999999999999999,0.4,0.4,0.3272727272727272,0.5,0.0,1.0,Medium,1
45,Female,IT,UK,0.4666666666666667,0.7200000000000001,0.4,0.2,1.0,0.0,0.3333333333333333,Medium,2
25,Female,Sales,Canada,0.6999999999999998,0.12,0.8,0.4363636363636363,1.0,0.0,0.0,Low,2
62,Non-binary,IT,Germany,0.8833333333333334,0.32,0.3,0.6,0.0,1.0,0.0,Low,0
59,Non-binary,Sales,USA,0.9833333333333332,0.42,0.1,0.5818181818181818,1.0,0.3333333333333333,0.6666666666666666,High,2
48,Female,Sales,USA,0.3166666666666667,0.4,0.2,0.6909090909090909,1.0,0.6666666666666666,0.6666666666666666,High,2
49,Non-binary,Finance,Canada,0.7666666666666665,0.62,0.6000000000000001,0.9454545454545454,0.5,1.0,1.0,High,1
63,Prefer not to say,Education,Australia,0.4166666666666666,0.86,0.9,0.0,1.0,1.0,0.6666666666666666,High,2
64,Female,Finance,India,0.6166666666666666,0.4,0.3,0.9636363636363636,1.0,0.6666666666666666,0.6666666666666666,High,2
57,Female,Sales,Other,0.9,0.12,0.7000000000000001,0.1454545454545454,0.0,0.3333333333333333,0.0,Low,0
44,Prefer not to say,Other,USA,0.4999999999999999,0.5599999999999999,0.4,0.6181818181818182,1.0,0.3333333333333333,1.0,High,2
53,Female,Engineering,Other,0.5499999999999999,0.3,0.1,0.2727272727272727,0.5,0.3333333333333333,1.0,Medium,1
25,Non-binary,Sales,Other,0.4999999999999999,0.62,0.6000000000000001,0.0545454545454545,1.0,0.6666666666666666,0.0,Medium,2
61,Non-binary,Sales,Germany,0.1333333333333333,0.42,0.6000000000000001,0.4545454545454545,0.5,0.3333333333333333,0.0,Medium,0
20,Prefer not to say,Healthcare,Canada,0.2,0.36,0.9,0.2545454545454545,1.0,1.0,0.6666666666666666,High,2
62,Non-binary,IT,Germany,0.6333333333333332,0.02,0.3,0.4909090909090909,0.5,0.6666666666666666,0.6666666666666666,High,1
59,Prefer not to say,Education,Canada,1.0,0.3400000000000001,0.6000000000000001,0.5454545454545454,0.0,0.6666666666666666,0.6666666666666666,Medium,1
56,Prefer not to say,IT,UK,0.6,0.44,0.2,0.1636363636363636,0.0,0.6666666666666666,0.3333333333333333,Medium,0
60,Prefer not to say,IT,Other,0.6833333333333332,0.0,0.5,0.8545454545454546,0.5,0.3333333333333333,0.6666666666666666,Medium,1
64,Non-binary,Finance,UK,0.0499999999999999,0.3,1.0,0.1272727272727272,0.0,1.0,0.3333333333333333,Low,0
27,Male,IT,India,0.9,0.44,0.4,0.0363636363636363,0.0,0.3333333333333333,0.6666666666666666,Low,1
42,Prefer not to say,Engineering,UK,0.7833333333333331,0.7800000000000001,0.5,0.7818181818181817,1.0,0.0,0.0,Medium,2
33,Non-binary,Healthcare,India,0.6999999999999998,0.86,0.5,0.8,0.5,0.0,0.3333333333333333,Medium,0
57,Female,Engineering,Other,0.5666666666666668,0.96,0.2,0.2545454545454545,0.5,0.6666666666666666,1.0,High,1
19,Female,IT,Other,0.6,0.84,0.5,0.5454545454545454,1.0,0.6666666666666666,0.0,High,2
35,Male,Engineering,USA,0.1166666666666667,0.12,0.6000000000000001,0.2909090909090909,0.0,1.0,0.0,Low,0
56,Female,Sales,USA,0.85,0.12,0.6000000000000001,0.2181818181818181,0.5,0.3333333333333333,0.3333333333333333,Low,0
57,Male,Engineering,USA,0.9666666666666668,0.86,0.7000000000000001,0.7272727272727273,0.0,0.3333333333333333,0.6666666666666666,Medium,1
53,Prefer not to say,Finance,UK,0.6999999999999998,0.4600000000000001,0.1,0.3090909090909091,0.5,1.0,0.3333333333333333,Medium,0
63,Prefer not to say,Sales,India,0.4833333333333333,0.7000000000000001,0.3,0.8181818181818182,1.0,0.0,0.6666666666666666,High,2
54,Non-binary,IT,Australia,0.2,0.28,0.7000000000000001,0.4727272727272728,0.0,0.0,1.0,Low,1
63,Prefer not to say,Other,Canada,0.5666666666666668,0.7600000000000001,1.0,0.7272727272727273,0.0,0.3333333333333333,0.3333333333333333,Medium,0
50,Female,Engineering,India,0.35,0.5400000000000001,0.9,0.890909090909091,1.0,1.0,0.6666666666666666,High,2
35,Prefer not to say,Engineering,India,0.0833333333333333,0.44,0.1,0.7818181818181817,0.0,0.6666666666666666,0.6666666666666666,High,1
40,Female,Healthcare,India,0.7166666666666667,0.86,0.0,0.1818181818181818,0.0,0.0,0.3333333333333333,Low,0
33,Prefer not to say,IT,India,0.4999999999999999,0.5200000000000001,0.1,0.0727272727272727,0.5,0.0,1.0,Medium,1
63,Non-binary,Education,Canada,0.85,0.62,0.0,0.9090909090909092,0.5,0.6666666666666666,0.6666666666666666,High,1
58,Non-binary,Engineering,Australia,0.0333333333333333,0.2,0.7000000000000001,0.3454545454545454,0.5,0.0,0.0,Low,0
40,Non-binary,Sales,Other,0.25,0.62,0.5,0.0909090909090909,0.5,1.0,0.0,Medium,0
34,Non-binary,IT,India,0.7166666666666667,0.7200000000000001,0.7000000000000001,0.9454545454545454,1.0,0.3333333333333333,1.0,High,2
53,Male,Finance,India,0.6333333333333332,0.88,1.0,0.0727272727272727,1.0,0.6666666666666666,0.0,Medium,2
21,Female,Education,Germany,0.4166666666666666,0.22,0.6000000000000001,0.0727272727272727,0.0,0.3333333333333333,0.3333333333333333,Low,0
31,Non-binary,Sales,India,0.4833333333333333,0.4,1.0,0.0545454545454545,0.5,0.3333333333333333,0.0,Low,0
55,Non-binary,Healthcare,Germany,0.45,0.16,0.8,0.4181818181818181,0.5,1.0,1.0,Medium,1
59,Female,IT,India,0.4333333333333332,0.02,0.2,0.8181818181818182,0.0,0.6666666666666666,0.0,Medium,0
21,Female,Healthcare,Germany,0.85,0.8000000000000002,1.0,0.3454545454545454,1.0,0.0,0.6666666666666666,Medium,2
26,Non-binary,Healthcare,Canada,0.3833333333333332,0.68,0.0,0.7454545454545454,0.0,0.3333333333333333,0.6666666666666666,High,1
64,Male,Engineering,Canada,0.65,0.5599999999999999,0.2,0.1636363636363636,0.5,0.0,0.6666666666666666,Medium,1
62,Male,Sales,USA,0.6833333333333332,0.06,0.3,0.4545454545454545,0.0,0.6666666666666666,0.0,Low,0
36,Female,Engineering,Australia,0.2166666666666666,0.7600000000000001,0.0,0.3090909090909091,0.5,0.3333333333333333,1.0,High,1
50,Male,Education,USA,0.4999999999999999,0.58,0.4,0.2181818181818181,0.5,0.3333333333333333,1.0,Medium,1
19,Non-binary,Education,Germany,0.1666666666666666,0.5000000000000001,0.6000000000000001,0.7090909090909091,1.0,0.3333333333333333,0.6666666666666666,High,2
36,Female,Healthcare,UK,0.6,0.96,0.9,0.6909090909090909,0.5,0.3333333333333333,0.0,Medium,0
63,Male,Other,India,0.2166666666666666,0.4,0.5,0.5636363636363636,0.5,1.0,0.3333333333333333,High,0
64,Prefer not to say,Education,Canada,0.35,0.7000000000000001,0.9,0.6,1.0,1.0,0.6666666666666666,High,2
26,Male,Finance,Germany,0.0833333333333333,1.0,0.0,0.9090909090909092,1.0,0.6666666666666666,1.0,High,2
36,Male,Education,Other,0.8000000000000002,0.26,0.4,0.0363636363636363,0.5,1.0,0.0,Low,0
25,Female,Engineering,UK,0.0833333333333333,0.12,0.8,0.4545454545454545,0.0,0.3333333333333333,0.3333333333333333,Low,0
54,Prefer not to say,Finance,Other,0.85,0.5400000000000001,0.1,0.6181818181818182,0.0,0.0,0.0,Low,0
58,Male,Finance,Canada,0.2,0.84,0.7000000000000001,0.8363636363636363,0.5,1.0,0.6666666666666666,High,1
60,Prefer not to say,Other,USA,0.1666666666666666,0.86,0.9,0.0545454545454545,0.5,0.6666666666666666,0.0,Medium,0
28,Male,Other,Germany,0.5499999999999999,0.66,0.7000000000000001,0.4,1.0,0.3333333333333333,0.0,Medium,2
26,Prefer not to say,IT,Canada,0.8666666666666666,0.94,0.8,0.8363636363636363,0.5,0.6666666666666666,0.0,Medium,0
22,Female,Healthcare,Other,0.7833333333333331,0.36,0.6000000000000001,0.3454545454545454,0.0,1.0,0.0,Low,0
24,Female,Sales,Other,0.3333333333333333,0.4600000000000001,0.3,0.0,1.0,1.0,1.0,High,2
20,Non-binary,Engineering,Other,0.9166666666666666,0.1,0.6000000000000001,0.0545454545454545,0.5,0.3333333333333333,0.0,Low,0
33,Female,Finance,USA,0.9166666666666666,0.26,0.1,0.7272727272727273,0.5,0.6666666666666666,0.6666666666666666,High,1
58,Female,Other,Other,0.25,0.42,0.2,0.9636363636363636,0.0,1.0,1.0,High,1
41,Non-binary,Engineering,Other,0.2,0.84,0.1,0.8727272727272727,0.5,0.0,1.0,High,1
38,Male,Education,India,0.1166666666666667,0.24,1.0,0.6181818181818182,0.0,0.6666666666666666,0.6666666666666666,Medium,1
52,Female,Healthcare,Canada,0.2166666666666666,0.4600000000000001,0.1,0.5636363636363636,1.0,0.3333333333333333,0.3333333333333333,High,2
37,Non-binary,Finance,USA,0.5833333333333334,0.24,1.0,0.2363636363636363,0.0,0.3333333333333333,1.0,Low,1
42,Prefer not to say,Finance,UK,0.9499999999999998,0.58,0.9,0.7090909090909091,0.0,1.0,0.0,Low,0
59,Female,IT,Germany,0.4999999999999999,0.82,0.4,0.3454545454545454,0.5,0.3333333333333333,1.0,High,1
32,Non-binary,Finance,Canada,0.0,0.4800000000000001,0.9,0.4,1.0,0.3333333333333333,1.0,High,2
55,Prefer not to say,Finance,UK,0.85,0.3,1.0,0.1272727272727272,0.0,0.0,0.6666666666666666,Low,1
55,Male,Engineering,India,0.6166666666666666,0.92,0.1,0.9454545454545454,0.0,0.3333333333333333,0.3333333333333333,High,0
46,Female,Engineering,UK,0.3833333333333332,0.2,0.9,0.3636363636363636,1.0,0.0,0.0,Low,2
55,Prefer not to say,Other,Germany,0.5166666666666665,0.5200000000000001,0.4,0.509090909090909,0.5,0.6666666666666666,0.0,Medium,0
65,Non-binary,Other,UK,0.5499999999999999,0.64,0.2,0.2545454545454545,0.5,0.6666666666666666,0.6666666666666666,High,1
43,Male,Other,Australia,0.1166666666666667,0.6,0.8,0.2909090909090909,0.0,0.0,1.0,Low,1
55,Female,Engineering,Other,0.1833333333333332,0.4600000000000001,0.3,0.6909090909090909,1.0,1.0,0.6666666666666666,High,2
27,Non-binary,Other,UK,0.6999999999999998,0.82,0.0,0.5454545454545454,0.0,0.0,1.0,Medium,1
34,Female,Finance,India,0.4999999999999999,0.5400000000000001,1.0,0.1090909090909091,0.0,0.0,0.0,Low,0
55,Female,Engineering,India,0.4166666666666666,0.08,0.5,0.6545454545454544,1.0,1.0,0.6666666666666666,High,2
56,Prefer not to say,Healthcare,USA,0.25,0.5400000000000001,0.0,0.4,0.0,0.0,0.3333333333333333,Medium,0
53,Prefer not to say,IT,USA,0.2833333333333333,0.82,0.2,0.0181818181818181,0.5,1.0,1.0,High,1
47,Prefer not to say,Finance,Canada,0.7666666666666665,0.3400000000000001,0.1,0.9818181818181818,1.0,0.0,1.0,High,2
56,Non-binary,Education,Germany,0.8000000000000002,0.7000000000000001,0.2,0.7090909090909091,1.0,0.3333333333333333,1.0,High,2
42,Non-binary,Other,Germany,0.0666666666666667,0.7200000000000001,0.0,0.9272727272727272,0.0,0.3333333333333333,0.6666666666666666,High,1
59,Prefer not to say,Healthcare,Canada,0.25,0.68,0.2,0.9636363636363636,1.0,0.6666666666666666,1.0,High,2
50,Prefer not to say,Education,Australia,0.4,0.26,0.5,0.9454545454545454,0.5,0.6666666666666666,1.0,High,1
64,Non-binary,Sales,India,0.8666666666666666,0.62,0.6000000000000001,0.4545454545454545,1.0,0.0,0.0,Low,2
34,Non-binary,Engineering,Australia,0.9166666666666666,0.02,0.2,0.0363636363636363,1.0,0.3333333333333333,0.6666666666666666,Medium,2
58,Non-binary,Healthcare,USA,0.5333333333333333,0.7800000000000001,0.1,0.8181818181818182,0.0,0.6666666666666666,0.6666666666666666,High,1
49,Female,Education,India,0.0499999999999999,0.08,0.5,0.1272727272727272,1.0,0.0,0.0,Low,2
42,Prefer not to say,Healthcare,Australia,0.9666666666666668,0.88,0.2,0.9090909090909092,0.5,0.0,1.0,High,1
29,Male,Sales,UK,0.3166666666666667,0.0,0.7000000000000001,0.6181818181818182,1.0,0.6666666666666666,0.6666666666666666,High,2
46,Non-binary,Education,India,0.3166666666666667,0.5000000000000001,0.0,0.3636363636363636,1.0,1.0,1.0,High,2
53,Non-binary,Other,Other,0.1166666666666667,0.28,0.7000000000000001,0.6,0.5,0.3333333333333333,1.0,Medium,1
41,Male,Healthcare,USA,0.4833333333333333,0.7200000000000001,0.7000000000000001,0.9090909090909092,0.0,1.0,0.6666666666666666,High,1
32,Female,Engineering,Other,0.4,0.1,0.7000000000000001,0.509090909090909,0.0,0.3333333333333333,0.6666666666666666,Low,1
24,Non-binary,IT,Canada,0.9333333333333332,0.14,0.2,0.4727272727272728,0.5,0.0,0.3333333333333333,Low,0
37,Prefer not to say,Engineering,Canada,0.6166666666666666,1.0,0.9,0.8,0.5,0.3333333333333333,0.0,Medium,0
37,Non-binary,Education,India,0.2333333333333334,0.9,0.8,0.6545454545454544,1.0,0.6666666666666666,0.0,High,2
64,Prefer not to say,IT,USA,0.3333333333333333,1.0,0.1,0.509090909090909,0.5,1.0,0.3333333333333333,High,0
19,Male,Healthcare,Germany,0.2833333333333333,0.04,0.7000000000000001,0.3454545454545454,0.5,0.3333333333333333,0.0,Low,0
18,Female,Other,UK,0.6333333333333332,0.84,0.0,0.4363636363636363,0.5,0.3333333333333333,0.3333333333333333,High,0
20,Male,Finance,India,0.1166666666666667,0.7600000000000001,0.1,0.8363636363636363,0.5,0.6666666666666666,0.0,High,0
26,Prefer not to say,Other,USA,0.0333333333333333,0.84,0.8,0.509090909090909,0.5,0.0,0.3333333333333333,Medium,0
19,Prefer not to say,Healthcare,Other,0.6333333333333332,0.26,0.1,0.8545454545454546,0.0,0.0,0.0,Low,0
50,Female,Education,Germany,0.8333333333333334,0.44,1.0,0.0181818181818181,0.5,0.0,0.0,Low,0
25,Non-binary,IT,Australia,0.1166666666666667,0.38,0.7000000000000001,0.8181818181818182,0.0,0.3333333333333333,0.3333333333333333,Medium,0
38,Male,Education,UK,0.0166666666666666,0.5599999999999999,0.5,0.9272727272727272,0.0,0.6666666666666666,0.6666666666666666,High,1
55,Non-binary,Finance,Australia,0.5333333333333333,0.94,0.7000000000000001,0.9636363636363636,0.5,1.0,1.0,High,1
41,Female,IT,Germany,0.2,0.32,0.6000000000000001,0.3090909090909091,0.0,0.0,0.3333333333333333,Low,0
46,Prefer not to say,Other,Germany,0.0833333333333333,0.4800000000000001,0.8,0.5454545454545454,1.0,0.6666666666666666,0.6666666666666666,High,2
54,Male,Other,Canada,0.6,0.5599999999999999,0.4,0.4363636363636363,1.0,0.6666666666666666,1.0,High,2
20,Non-binary,IT,Canada,0.25,0.42,0.5,0.1272727272727272,1.0,0.6666666666666666,0.3333333333333333,High,2
39,Prefer not to say,Sales,Australia,0.7666666666666665,0.9,0.9,0.509090909090909,0.5,0.6666666666666666,0.3333333333333333,Medium,0
18,Female,IT,UK,0.4166666666666666,0.62,0.4,0.2,1.0,1.0,0.0,Medium,2
26,Prefer not to say,Finance,India,0.2166666666666666,0.84,0.3,0.9454545454545454,0.0,0.3333333333333333,1.0,High,1
41,Male,IT,India,0.0833333333333333,0.08,0.2,0.890909090909091,0.0,0.6666666666666666,1.0,High,1
52,Female,IT,Other,0.2166666666666666,0.66,0.5,0.6,1.0,1.0,0.0,High,2
35,Male,Engineering,Australia,0.5833333333333334,0.62,0.5,0.7818181818181817,0.0,1.0,0.6666666666666666,High,1
57,Female,Engineering,Australia,0.5499999999999999,0.06,0.3,0.0545454545454545,0.0,0.3333333333333333,0.0,Low,0
58,Female,Education,Australia,0.5833333333333334,0.64,0.8,0.1818181818181818,0.0,0.3333333333333333,1.0,Low,1
28,Non-binary,Healthcare,Canada,0.1666666666666666,0.06,0.1,0.0363636363636363,1.0,0.3333333333333333,1.0,High,2
52,Female,IT,Canada,0.8166666666666668,0.44,0.8,0.2909090909090909,0.5,0.3333333333333333,0.0,Low,0
43,Prefer not to say,Other,Canada,0.9833333333333332,0.5200000000000001,0.8,0.4545454545454545,0.0,1.0,0.0,Low,0
29,Non-binary,Other,USA,0.85,0.7800000000000001,0.0,0.4727272727272728,0.5,1.0,1.0,High,1
21,Non-binary,Engineering,UK,0.45,0.68,0.5,0.5818181818181818,1.0,1.0,0.0,High,2
48,Male,Education,Australia,0.6999999999999998,1.0,0.1,1.0,0.0,0.3333333333333333,0.0,Medium,0
40,Non-binary,Healthcare,Australia,0.1666666666666666,0.94,0.5,0.1636363636363636,0.0,0.3333333333333333,0.3333333333333333,Medium,0
59,Prefer not to say,IT,India,0.3666666666666666,0.2,1.0,0.0909090909090909,0.0,0.0,0.3333333333333333,Low,0
49,Male,Finance,UK,0.4666666666666667,0.92,0.7000000000000001,0.5272727272727272,0.0,0.0,0.0,Low,0
54,Female,Education,UK,0.8333333333333334,0.7400000000000001,0.3,0.1454545454545454,1.0,0.3333333333333333,0.6666666666666666,High,2
31,Male,Sales,UK,0.4833333333333333,0.94,0.0,0.890909090909091,0.5,0.6666666666666666,1.0,High,1
60,Prefer not to say,Other,Other,0.2666666666666666,0.0,0.6000000000000001,0.8727272727272727,1.0,0.0,1.0,High,2
29,Non-binary,Other,Canada,0.7833333333333331,0.98,0.8,0.4181818181818181,1.0,0.0,0.6666666666666666,Medium,2
18,Non-binary,Finance,Germany,0.3333333333333333,0.92,0.4,0.8,0.5,0.6666666666666666,0.0,High,0
36,Female,Education,Australia,0.35,0.58,0.7000000000000001,0.2181818181818181,0.5,0.3333333333333333,0.3333333333333333,Low,0
27,Female,Engineering,USA,0.7166666666666667,0.28,0.8,0.2363636363636363,0.5,0.6666666666666666,0.0,Low,0
35,Male,Other,Australia,0.7833333333333331,0.66,0.5,0.6727272727272727,1.0,0.6666666666666666,0.0,High,2
23,Non-binary,IT,Australia,0.85,0.3400000000000001,0.9,0.7818181818181817,1.0,0.0,1.0,Medium,2
44,Non-binary,Education,UK,0.2666666666666666,0.4600000000000001,0.3,0.6181818181818182,1.0,0.6666666666666666,1.0,High,2
18,Prefer not to say,Sales,USA,0.85,0.02,0.5,0.0909090909090909,1.0,0.3333333333333333,0.0,Low,2
47,Female,IT,Other,0.8166666666666668,0.32,0.5,0.2181818181818181,0.5,0.3333333333333333,0.0,Low,0
55,Non-binary,Sales,USA,0.65,0.7200000000000001,0.0,0.8727272727272727,1.0,0.3333333333333333,1.0,High,2
55,Male,Engineering,Germany,0.35,0.04,0.0,1.0,0.0,0.0,1.0,Medium,1
64,Prefer not to say,Education,Australia,0.5166666666666665,0.82,0.0,0.1090909090909091,0.0,1.0,0.0,Medium,0
36,Male,Education,Australia,0.5499999999999999,0.42,0.4,0.890909090909091,0.5,1.0,1.0,High,1
36,Prefer not to say,Other,India,0.0166666666666666,0.42,1.0,0.1090909090909091,0.0,0.3333333333333333,0.0,Low,0
59,Female,Finance,Canada,0.3166666666666667,0.3400000000000001,0.9,0.4727272727272728,0.0,0.3333333333333333,0.0,Low,0
33,Male,Engineering,Canada,0.9666666666666668,0.7400000000000001,0.2,0.4181818181818181,0.5,1.0,1.0,High,1
47,Male,Education,Canada,0.5166666666666665,0.84,0.3,0.9818181818181818,0.0,0.6666666666666666,0.6666666666666666,High,1
41,Female,Engineering,USA,0.6999999999999998,0.4,0.7000000000000001,0.5636363636363636,0.5,0.0,0.3333333333333333,Low,0
